##name	Roget II: the new thesaurus
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp22
##bgl_sourceCharset	cp22
##bgl_targetCharset	cp22
##bgl_defaultEncoding	cp22
##bgl_sourceEncoding	utf
##bgl_targetEncoding	utf
##sourceCharset	UTF-8
##targetCharset	UTF-8
##caseSensitive	
##spellingAlternatives	
##utfEncoding	
##bgl_lastUpdated	21/0/1, 2:0
##bgl_middleUpdated	21/0/1, 2:0
##author	Ebrahim Mehri
##email	ebrahim.mehri@gmail.com
##browsingEnabled	
##bgl_creationTime	21/0/1, 1:4
##description	
clip	pos: noun 1.  A sudden sharp, powerful stroke: bang, blow, clout, crack, hit, lick, pound, slug, sock, swat, thwack, welt, whack, wham, whop.  bash, biff, bop, wallop.  belt, conk, paste. 2.  A quick, sharp blow, especially with the hand: box, buffet, bust, chop, cuff, punch, slap, smack, smacker, spank, swat, whack.  spat. 3.  Rate of motion or performance: pace, speed, tempo, velocity. 
clip	pos: verb 1. To decrease, as in length or amount, by or as if by severing or excising: chop, crop, cut, cut back, cut down, lop, lower, pare, prune, shear, slash, trim, truncate. 2.  To deliver a powerful blow to (someone) suddenly and sharply: bash, catch, clout, hit, knock, pop, slam, slog, slug, smash, smite, sock, strike, swat, thwack, whack, wham, whop.  biff, bop, wallop.  belt, conk, paste.  let someone have it, sock it to someone. 3.  To hit with a quick, sharp blow of the hand: box, buffet, bust, cuff, punch, slap, smack, spank, swat, whack.  spat. 4.  To exploit (another) by charging too much for something: fleece, overcharge.  gouge, nick, rip off, scalp, skin, soak.  make someone pay through the nose, take someone for a ride, take someone to the cleaners. 
clip	pos: verb 1. To join one thing to another: affix, attach, connect, couple, fasten, fix, moor, secure. 2.  To put one's arms around affectionately: clasp, embrace, enfold, hold, hug, press, squeeze.  clinch.  bosom, embosom. 
clique	pos: noun A particular social group: circle, coterie, crowd, set.  bunch, gang. 
cloak	pos: noun 1. A garment wrapped about a person: shawl, stole, wrap. 2. A deceptive outward appearance: color, coloring, cover, disguise, disguisement, façade, face, false colors, front, gloss, guise, mask, masquerade, pretense, pretext, semblance, show, veil, veneer, window-dressing.  put-on. pos: verb 1. To cover as if with clothes: clothe, drape, mantle, robe. 2. To surround and cover completely so as to obscure: clothe, enfold, enshroud, envelop, enwrap, infold, invest, shroud, veil, wrap. 3. To prevent (something) from being known: conceal, cover (up), enshroud, hide, hush (up), mask, shroud, veil.  keep under cover, keep under wraps. 
cloak-and-dagger	pos: adjective Existing or operating in a way so as to ensure complete concealment and confidentiality: clandestine, covert, huggermugger, secret, sub-rosa, undercover.  hush-hush.  under wraps. 
clobber	pos: verb 1.  To hit heavily and repeatedly with violent blows: assail, assault, baste, batter, beat, belabor, buffet, drub, hammer, pound, pummel, smash, thrash, thresh.  lambaste.  rain blows on. 2.  To render totally ineffective by decisive defeat: annihilate, crush, drub, overpower, overwhelm, smash, steamroller, thrash, trounce, vanquish.  massacre, wallop.  cream, shellac, smear. 
clock	pos: verb To record the speed or duration of: time. 
clod	pos: noun 1. An irregularly shaped mass of indefinite size: chunk, clump, gob, hunch, lump, nugget, wad.  hunk. 2. A mentally dull person: blockhead, chump, dolt, dullard, dummkopf, dummy, dunce, numskull, thickhead.  dimwit, dumbbell, dumbo. 
clodhopper	pos: noun A clumsy, unsophisticated person: bumpkin, rustic, yokel. 
clog	pos: noun Something that impedes or prevents entry or passage: bar, barricade, barrier, block, blockage, hamper, hindrance, hurdle, impediment, obstacle, obstruction, snag, stop, traverse, wall. pos: verb To plug up something, as a hole, space, or container: block, choke, close, congest, cork, fill, plug, stop. 
cloister	pos: verb To put into solitude: seclude, sequester, sequestrate. 
clomp	pos: verb To make a dull sound by or as if by striking a surface with a heavy object: clump, clunk, thud. 
close	pos: adjective 1. Not far from another in space, time, or relation: adjacent, contiguous, immediate, near, nearby, nigh, proximate.  at hand, under one's nose, within a stone's throw, within hailing distance. 2. Very closely associated: chummy, familiar, friendly, intimate.  thick.  tight.  hand in glove with. 3. Having all parts near to each other: compact, crowded, dense, packed, thick, tight. 4. Nearly equivalent or even: neck and neck, nip and tuck, tight. 5. Not deviating from correctness, accuracy, or completeness: exact, faithful, full, rigorous, strict. 6. Affording little room for movement: confining, cramped, crowded, narrow, snug, tight. 7. Oppressive due to a lack of fresh air: airless, stifling, stuffy. 8. Not speaking freely or openly: close-mouthed, incommunicable, incommunicative, reserved, reticent, silent, taciturn, tightlipped, uncommunicable, uncommunicative. 9. Ungenerously or pettily reluctant to spend money: cheap, close-fisted, costive, hard-fisted, mean, miserly, niggard, niggardly, parsimonious, penny-pinching, penurious, petty, pinching, stingy, tight, tightfisted. pos: verb 1. To move (a door, for example) in order to cover an opening: shut. 2. To plug up something, as a hole, space, or container: block, choke, clog, congest, cork, fill, plug, stop. 3. To bring or come to a natural or proper end: complete, conclude, consummate, end, finish, terminate, wind up, wrap up. 4. To come together: converge, meet. pos: noun 1. A concluding or terminating: cease, cessation, closing, closure, completion, conclusion, consummation, end, ending, end of the line, finish, period, stop, stopping point, termination, terminus, wind-up, wrap-up. 2. The last part: conclusion, end, ending, finale, finish, last, termination, wind-up, wrap-up. 3. An area partially or entirely enclosed by walls or buildings: atrium, court, courtyard, enclosure, quad, quadrangle, yard. pos: adverb To a point near in time, space, or relation: closely, hard, near, nearby, nigh. 
close in	pos: verb To surround and advance upon: besiege, enclose, envelop, hedge, hem. 
close off	pos: verb To set apart from a group: cut off, insulate, isolate, seclude, segregate, separate, sequester. 
close out	pos: verb To get rid of completely by selling, especially in quantity or at a discount: dump, sell off, sell out, unload. 
close-fisted	pos: adjective Ungenerously or pettily reluctant to spend money: cheap, close, costive, hard-fisted, mean, miserly, niggard, niggardly, parsimonious, penny-pinching, penurious, petty, pinching, stingy, tight, tightfisted. 
close-minded	pos: adjective Not tolerant of the beliefs or opinions of others, for example: bigoted, hidebound, illiberal, intolerant, narrow-minded. 
close-mouthed	pos: adjective Not speaking freely or openly: close, incommunicable, incommunicative, reserved, reticent, silent, taciturn, tightlipped, uncommunicable, uncommunicative. 
closely	pos: adverb To a point near in time, space, or relation: close, hard, near, nearby, nigh. 
closeness	pos: noun The condition of being friends: chumminess, companionship, comradeship, familiarity, fellowship, friendship, intimacy. 
closet	pos: verb To enclose so as to hinder or prohibit escape: confine, imprison, shut up. 
closing	pos: adjective Coming after all others: concluding, final, last, terminal.  closing pos: noun A concluding or terminating: cease, cessation, close, closure, completion, conclusion, consummation, end, ending, end of the line, finish, period, stop, stopping point, termination, terminus, wind-up, wrap-up. 
closure	pos: noun A concluding or terminating: cease, cessation, close, closing, completion, conclusion, consummation, end, ending, end of the line, finish, period, stop, stopping point, termination, terminus, wind-up, wrap-up. 
clot	pos: verb To change or be changed from a liquid into a soft, semisolid, or solid mass: coagulate, congeal, curdle, gelatinize, jell, jelly, set. 
clothe	pos: verb 1. To put clothes on: apparel, attire, dress, garb, garment, invest.  tog. 2. To cover as if with clothes: cloak, drape, mantle, robe. 3. To surround and cover completely so as to obscure: cloak, enfold, enshroud, envelop, enwrap, infold, invest, shroud, veil, wrap. 
clothes	pos: noun Articles worn to cover the body: apparel, attire, clothing, dress, garment (used in plural), habiliment (often used in plural), raiment.  dud (used in plural), tog (used in plural).  thread (used in plural). 
clothing	pos: noun Articles worn to cover the body: apparel, attire, clothes, dress, garment (used in plural), habiliment (often used in plural), raiment.  dud (used in plural), tog (used in plural).  thread (used in plural). 
cloud	pos: noun A very large number of things grouped together: army, crowd, drove, flock, horde, host, legion, mass, mob, multitude, ruck, score (used in plural), swarm, throng. pos: verb 1. To make dim or indistinct: becloud, bedim, befog, blear, blur, dim, dull, eclipse, fog, gloom, mist, obfuscate, obscure, overcast, overshadow, shadow. 2. To contaminate the reputation of: befoul, besmear, besmirch, bespatter, blacken, denigrate, dirty, smear, smudge, smut, soil, spatter, stain, sully, taint, tarnish.  give a black eye to, sling ( throw) mud on. 
cloud nine	pos: noun  A state of elated bliss: ecstasy, heaven, paradise, rapture, seventh heaven, transport. 
clouded	pos: adjective Not affording certainty: ambiguous, borderline, chancy, doubtful, dubious, dubitable, equivocal, inconclusive, indecisive, indeterminate, problematic, problematical, questionable, uncertain, unclear, unsure.  iffy.  at issue, in doubt, in question. 
cloudiness	pos: noun The quality or state of being ambiguous: ambiguity, ambiguousness, equivocalness, indefiniteness, nebulousness, obscureness, obscurity, uncertainty, unclearness, vagueness. 
cloudless	pos: adjective Free from clouds or mist, for example: clear, fair, fine, sunny, unclouded. 
cloudy	pos: adjective 1. Covered by or as if by a thin coating or film: blurry, dim, filmy, hazy, misty. 2. Having sediment or foreign particles stirred up or suspended: muddy, murky, roiled, roily, turbid. 3. Liable to more than one interpretation: ambiguous, equivocal, inexplicit, nebulous, obscure, uncertain, unclear, vague. 4. Not clearly perceived or perceptible: blear, bleary, dim, faint, foggy, fuzzy, hazy, indefinite, indistinct, misty, obscure, shadowy, unclear, undistinct, vague. 
clout	pos: noun 1. A sudden sharp, powerful stroke: bang, blow, crack, hit, lick, pound, slug, sock, swat, thwack, welt, whack, wham, whop.  bash, biff, bop, clip, wallop.  belt, conk, paste. 2.  The power to produce an effect by indirect means: influence, leverage, sway, weight.  pull. 3.  Effective means of influencing, compelling, or punishing: force, power, weight.  muscle. pos: verb To deliver a powerful blow to suddenly and sharply: bash, catch, hit, knock, pop, slam, slog, slug, smash, smite, sock, strike, swat, thwack, whack, wham, whop.  biff, bop, clip, wallop.  belt, conk, paste.  let someone have it, sock it to someone. 
clown	pos: noun A person whose words or actions provoke or are intended to provoke amusement or laughter: comedian, comic, farceur, funnyman, humorist, jester, joker, jokester, quipster, wag, wit, zany.  card. pos: verb  To make jokes; behave playfully. Also used with : jest, joke.  fool around, fun. 
